NOV_ISSUED_DATE,NOV_NUMBER,"Street Address",City,State,VIOLATION_DESCRIPTION,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1/4/2019,P005721936,"10 E 109TH ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.69638,-87.623034,1,range_interpolation,10,"E 109th St",,,Chicago,IL,"Cook County",60628,US,"TIGER/Line® dataset from the US Census Bureau"
1/4/2019,P005671271,"1900 S CENTRAL PK ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.854346,-87.71508,0.7,range_interpolation,1900,"S Central Park Ave",,,Chicago,IL,"Cook County",60623,US,"TIGER/Line® dataset from the US Census Bureau"
1/4/2019,P005607508,"100  UNKNOWN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.88531,-87.62213,0.33,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
1/4/2019,P005912298,"200 S WABASH ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.879372,-87.626125,1,range_interpolation,200,"S Wabash Ave",,,Chicago,IL,"Cook County",60605,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005303689,"7900 S EXCHANGE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.751764,-87.552584,1,range_interpolation,7900,"S Exchange Ave",,,Chicago,IL,"Cook County",60617,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005485466,"11100 S HALSTED ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.692205,-87.642377,1,range_interpolation,11100,"S Halsted St",,,Chicago,IL,"Cook County",60628,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005408990,"500 E PERSHING RD ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.824018,-87.614363,1,range_interpolation,500,"E Pershing Rd",,,Chicago,IL,"Cook County",60653,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005525387,"1900 W SUPERIOR ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.894882,-87.674584,1,range_interpolation,1900,"W Superior St",,,Chicago,IL,"Cook County",60622,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005521282,"1200 S UNION ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.867017,-87.645163,1,range_interpolation,1200,"S Union Ave",,,Chicago,IL,"Cook County",60616,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005547524,"1500 W 59TH ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.78663,-87.661963,1,range_interpolation,1500,"W 59th St",,,Chicago,IL,"Cook County",60636,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005633223,"13200 S ST LAWRENCE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.655292,-87.607868,0.9,rooftop,13200,"S St Lawrence Ave",,,Riverdale,IL,"Cook County",60827,US,"City of Chicago"
1/5/2019,P005679199,"400 N STATE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.889505,-87.628191,1,rooftop,400,"N State St",,,Chicago,IL,"Cook County",60654,US,"City of Chicago"
1/5/2019,P005615711,"1600 W ROOSEVELT ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.866705,-87.666384,1,range_interpolation,1600,"W Roosevelt Rd",,,Chicago,IL,"Cook County",60608,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005719471,"2400 N MILWAUKEE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.924929,-87.700404,1,range_interpolation,2400,"N Milwaukee Ave",,,Chicago,IL,"Cook County",60647,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005721475,"100 W 103RD ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.706982,-87.625918,1,range_interpolation,100,"W 103rd St",,,Chicago,IL,"Cook County",60628,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005787879,"6100 S KEDZIE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.782456,-87.703245,1,range_interpolation,6100,"S Kedzie Ave",,,Chicago,IL,"Cook County",60629,US,"TIGER/Line® dataset from the US Census Bureau"
1/5/2019,P005703904,"2800 S PULASKI ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.840443,-87.724803,1,rooftop,2800,"S Pulaski Rd",,,Chicago,IL,"Cook County",60623,US,"City of Chicago"
1/5/2019,P005916971,"800 W CORNELIA ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.945721,-87.649788,1,rooftop,800,"W Cornelia Ave",,,Chicago,IL,"Cook County",60657,US,"City of Chicago"
1/6/2019,P005485756,"1500 W 95TH ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.721135,-87.660686,1,range_interpolation,1500,"W 95th St",,,Chicago,IL,"Cook County",60643,US,"TIGER/Line® dataset from the US Census Bureau"
1/6/2019,P005485705,"9900 S HALSTED ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.714063,-87.643002,1,range_interpolation,9900,"S Halsted St",,,Chicago,IL,"Cook County",60628,US,"TIGER/Line® dataset from the US Census Bureau"
1/6/2019,P005558664,"3300 W MONTROSE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.961428,-87.710889,1,rooftop,3300,"W Montrose Ave",,,Chicago,IL,"Cook County",60625,US,"City of Chicago"
1/6/2019,P005640136,"1800 S ST LOUIS ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.857053,-87.713069,1,rooftop,1800,"S St Louis Ave",,,Chicago,IL,"Cook County",60623,US,"City of Chicago"
1/6/2019,P005555722,"3900 W LAWRENCE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.968535,-87.725993,1,rooftop,3900,"W Lawrence Ave",,,Chicago,IL,"Cook County",60625,US,"City of Chicago"
1/6/2019,P005599678,"900 E WALDRON DR ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.860502,-87.613956,0.6,street_center,,"E Waldron Dr",,,Chicago,IL,"Cook County",60616,US,"TIGER/Line® dataset from the US Census Bureau"
1/6/2019,P005616026,"3000 W CHICAGO ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.895445,-87.702203,1,range_interpolation,3000,"W Chicago Ave",,,Chicago,IL,"Cook County",60622,US,"TIGER/Line® dataset from the US Census Bureau"
1/6/2019,P005726472,"9700 S WALLACE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.717765,-87.638617,1,rooftop,9700,"S Wallace St",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
1/6/2019,P005787622,"5100 S PULASKI ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.801342,-87.720861,1,rooftop,5100,"S Pulaski Rd",,,Chicago,IL,"Cook County",60632,US,"City of Chicago"
1/6/2019,P005613311,"1400 S MUSEUM CAMPUS DR ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.864925,-87.61406,1,range_interpolation,1400,"Museum Campus Dr",,,Chicago,IL,"Cook County",60605,US,"TIGER/Line® dataset from the US Census Bureau"
1/6/2019,P005614254,"1400 S MUSEUM CAMPUS DR ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.864925,-87.61406,1,range_interpolation,1400,"Museum Campus Dr",,,Chicago,IL,"Cook County",60605,US,"TIGER/Line® dataset from the US Census Bureau"
1/6/2019,P005614255,"1400 S MUSEUM CAMPUS DR ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.864925,-87.61406,1,range_interpolation,1400,"Museum Campus Dr",,,Chicago,IL,"Cook County",60605,US,"TIGER/Line® dataset from the US Census Bureau"
1/6/2019,P005745146,"1400 S MUSEUM CAMPUS ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.792612,-87.582151,0.5,street_center,,"E Museum Dr",,,Chicago,IL,"Cook County",60637,US,"TIGER/Line® dataset from the US Census Bureau"
1/6/2019,P005922445,"11900 S MICHIGAN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.6779,-87.620864,1,rooftop,11900,"S Michigan Ave",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
1/7/2019,P003320056,"7900 S PAULINA ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.750174,-87.665863,1,range_interpolation,7900,"S Paulina St",,,Chicago,IL,"Cook County",60620,US,"TIGER/Line® dataset from the US Census Bureau"
1/7/2019,P005332389,"1500 N MILWAUKEE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.908829,-87.674813,1,range_interpolation,1500,"N Milwaukee Ave",,,Chicago,IL,"Cook County",60622,US,"TIGER/Line® dataset from the US Census Bureau"
1/7/2019,P005504817,"10 W HUBBARD ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.890303,-87.628623,1,rooftop,10,"W Hubbard St",,,Chicago,IL,"Cook County",60654,US,"City of Chicago"
1/7/2019,P005479703,"7900 S COTTAGE GR ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.751136,-87.605215,0.8,range_interpolation,7900,"S Cottage Grove Ave",,,Chicago,IL,"Cook County",60619,US,"TIGER/Line® dataset from the US Census Bureau"
1/7/2019,P005575726,"5500 N WINTHROOP ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.981994,-87.658379,1,rooftop,5500,"N Winthrop Ave",,,Chicago,IL,"Cook County",60640,US,"City of Chicago"
1/7/2019,P005633783,"11900 S MICHIGAN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.6779,-87.620864,1,rooftop,11900,"S Michigan Ave",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
1/7/2019,P005578522,"6300 S VERNON ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.78011,-87.61441,1,range_interpolation,6300,"S Vernon Ave",,,Chicago,IL,"Cook County",60637,US,"TIGER/Line® dataset from the US Census Bureau"
1/7/2019,P005682979,"1900 E 71ST ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.76639,-87.578404,1,rooftop,1900,"E 71st St",,,Chicago,IL,"Cook County",60649,US,"City of Chicago"
1/7/2019,P005652087,"1100 N MONTICELLO ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.901069,-87.717717,1,range_interpolation,1100,"N Monticello Ave",,,Chicago,IL,"Cook County",60651,US,"TIGER/Line® dataset from the US Census Bureau"
1/7/2019,P005633540,"100 E 119TH ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.678208,-87.620509,1,range_interpolation,100,"E 119th St",,,Chicago,IL,"Cook County",60628,US,"TIGER/Line® dataset from the US Census Bureau"
1/7/2019,P005651274,"7300 N WINCHESTER ALY ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",42.014389,-87.679047,1,range_interpolation,7300,"N Winchester Ave",,,Chicago,IL,"Cook County",60626,US,"TIGER/Line® dataset from the US Census Bureau"
1/7/2019,P005724904,"10400 S MICHIGAN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.705237,-87.620491,0.9,range_interpolation,10400,"S Michigan Ave",,,Chicago,IL,"Cook County",60628,US,"TIGER/Line® dataset from the US Census Bureau"
1/7/2019,P005747791,"100 W LAKE ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.885592,-87.630975,1,range_interpolation,100,"W Lake St",,,Chicago,IL,"Cook County",60661,US,"TIGER/Line® dataset from the US Census Bureau"
1/7/2019,P005908986,"3700 N RACINE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.949147,-87.65949,1,rooftop,3700,"N Racine Ave",,,Chicago,IL,"Cook County",60613,US,Cook
1/8/2019,P005485307,"9800 S HALSTED ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.715624,-87.643461,1,rooftop,9800,"S Halsted St",,,Chicago,IL,"Cook County",60643,US,"City of Chicago"
1/8/2019,P005640998,"2400 W 21ST ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.854163,-87.686776,1,rooftop,2400,"W 21st St",,,Chicago,IL,"Cook County",60608,US,"City of Chicago"
1/8/2019,P005548315,"1000 W 59 ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.786806,-87.649827,1,range_interpolation,1000,"W 59th St",,,Chicago,IL,"Cook County",60621,US,"TIGER/Line® dataset from the US Census Bureau"
1/8/2019,P005595586,"8700 S COMMERCIAL ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.737235,-87.551836,1,rooftop,8700,"S Commercial Ave",,,Chicago,IL,"Cook County",60617,US,"City of Chicago"
1/8/2019,P005545864,"1500 W 55TH ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.793919,-87.662159,1,range_interpolation,1500,"W 55th St",,,Chicago,IL,"Cook County",60609,US,"TIGER/Line® dataset from the US Census Bureau"
1/8/2019,P005672846,"4000 W MADISON ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.881137,-87.725899,1,rooftop,4000,"W Madison St",,,Chicago,IL,"Cook County",60624,US,"City of Chicago"
1/8/2019,P005633003,"10 E 111TH ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.691941,-87.622636,1,rooftop,10,"E 111th Pl",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
1/8/2019,P005726531,"11000 S WENTWORTH ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.694197,-87.627946,1,range_interpolation,11000,"S Wentworth Ave",,,Chicago,IL,"Cook County",60628,US,"TIGER/Line® dataset from the US Census Bureau"
1/8/2019,P005621216,"400 W 62ND PLACE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.781623,-87.635097,0.7,range_interpolation,400,"W 62nd St",,,Chicago,IL,"Cook County",60621,US,"TIGER/Line® dataset from the US Census Bureau"
1/8/2019,P005712623,"100 N STATE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.880537,-87.62816,1,rooftop,100,"S State St",,,Chicago,IL,"Cook County",60603,US,"City of Chicago"
1/8/2019,P005712625,"100 N STATE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.880537,-87.62816,1,rooftop,100,"S State St",,,Chicago,IL,"Cook County",60603,US,"City of Chicago"
1/8/2019,P005908916,"3800 N PAULINA ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.950733,-87.671755,1,rooftop,3800,"N Paulina St",,,Chicago,IL,"Cook County",60613,US,"City of Chicago"
1/9/2019,P005287624,"6300 W DIVERSEY ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.931316,-87.783447,1,rooftop,6300,"W Diversey Ave",,,Chicago,IL,"Cook County",60634,US,"City of Chicago"
1/9/2019,P005389348,"7000 S CHAPPEL ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.767765,-87.575482,1,rooftop,7000,"S Chappel Ave",,,Chicago,IL,"Cook County",60649,US,"City of Chicago"
1/9/2019,P005464549,"400 N PARKSIDE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.887406,-87.766764,1,range_interpolation,400,"N Parkside Ave",,,Chicago,IL,"Cook County",60644,US,"TIGER/Line® dataset from the US Census Bureau"
1/9/2019,P005513125,"5300 N BROADWAY ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.978411,-87.660343,1,rooftop,5300,"N Broadway St",,,Chicago,IL,"Cook County",60640,US,"City of Chicago"
1/9/2019,P005558502,"1600 N GREENLEAF ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",42.010616,-87.670677,0.9,rooftop,1600,"W Greenleaf Ave",,,Chicago,IL,"Cook County",60626,US,"City of Chicago"
1/9/2019,P005689873,"6800 S KEDZIE AV ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.770135,-87.702939,1,range_interpolation,6800,"S Kedzie Ave",,,Chicago,IL,"Cook County",60629,US,"TIGER/Line® dataset from the US Census Bureau"
1/9/2019,P005640552,"2600 W CERMAK ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.852237,-87.691029,1,rooftop,2600,"W Cermak Rd",,,Chicago,IL,"Cook County",60608,US,"City of Chicago"
1/9/2019,P005726660,"9500 S ASHLAND ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.720786,-87.662885,1,rooftop,9500,"S Ashland Ave",,,Chicago,IL,"Cook County",60620,US,"City of Chicago"
1/9/2019,P005701661,"11600 S LAFAYETTE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.682378,-87.624038,1,range_interpolation,11600,"S Lafayette Ave",,,Chicago,IL,"Cook County",60628,US,"TIGER/Line® dataset from the US Census Bureau"
1/9/2019,P005610859,"4800 W GLADYS ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.875753,-87.7451,1,range_interpolation,4800,"W Gladys Ave",,,Chicago,IL,"Cook County",60644,US,"TIGER/Line® dataset from the US Census Bureau"
1/10/2019,P005450869,"4800 W CHICAGO ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.895246,-87.746187,1,rooftop,4800,"W Chicago Ave",,,Chicago,IL,"Cook County",60651,US,"City of Chicago"
1/10/2019,P005633231,"10800 S MICHIGAN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.697889,-87.621235,1,rooftop,10800,"S Michigan Ave",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
1/10/2019,P005658026,"3400 S DAMEN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.832056,-87.675327,0.9,range_interpolation,3400,"S Damen Ave",,,Chicago,IL,"Cook County",60608,US,"TIGER/Line® dataset from the US Census Bureau"
1/10/2019,P005724926,"10800 S MICHIGAN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.697889,-87.621235,1,rooftop,10800,"S Michigan Ave",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
1/10/2019,P005787892,"5500 S LARAMIE ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.793151,-87.752827,0.73,nearest_rooftop_match,5454,"S Laramie Ave",,,Chicago,IL,"Cook County",60638,US,"City of Chicago"
1/10/2019,P005739716,"4900 N WINTHROP ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.971687,-87.657687,1,range_interpolation,4900,"N Winthrop Ave",,,Chicago,IL,"Cook County",60640,US,"TIGER/Line® dataset from the US Census Bureau"
1/10/2019,P005787486,"2400 W 71ST ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.764551,-87.683242,1,range_interpolation,2400,"W 71st St",,,Chicago,IL,"Cook County",60629,US,"TIGER/Line® dataset from the US Census Bureau"
1/10/2019,P005750205,"7000 S WESTERN ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.766398,-87.683686,1,rooftop,7000,"S Western Ave",,,Chicago,IL,"Cook County",60629,US,"City of Chicago"
1/10/2019,P005703930,"10 W HUBBARD ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.890303,-87.628623,1,rooftop,10,"W Hubbard St",,,Chicago,IL,"Cook County",60654,US,"City of Chicago"
1/10/2019,P005915781,"3200 N CICERO ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.93907,-87.747251,1,rooftop,3200,"N Cicero Ave",,,Chicago,IL,"Cook County",60641,US,"City of Chicago"
1/10/2019,P005874374,"1100 S STATE ST ",CHICAGO,Illinois,"8-4-081(a)     Public Urination",41.902092,-87.628557,1,rooftop,1100,"N State St",,,Chicago,IL,"Cook County",60610,US,"City of Chicago"
